ID,TemporaryMark,Gender,AutonomousCommunity,SchoolOwnership,Pond,PondMax3,KindOfPlace,Income,LivingUnit,DependentPersons,WorkConfinement,WorkConfinementsSecondAdult,ChildEarlyEducation1,ChildEarlyEducation2,ChildPrimaryEducation,ChildSecondaryEducation,ChildBaccaleaurate,ChildVocationalTraining,ChildrenSpecialNeeds,WorkloadChange,HouseworkMore,Sleep,Leisure,Sports,Friends,ExtendedFamily,Past,Future,Sex,Reconciling,DomesticHelp,Tired,TimeOff,InterruptChildren,InterruptChildrenFrequency,ChildrenSchookwork,ShareElectronicDevices,Bedtime,PositiveImpact,Bonding,BondingNeighbours,TastesAndAbilities,Responsability,Adaptarion,Understanding,NegativeImpact,Anxiety,Loneliness,Sadness,LossFamilyMember,FinancialLoss,Arguments,AlcoholMedicationDrug,TechnologyUse,NegativeImpactOther,NegativeImpactNoanswer,ChildPhysicalActivity,ChildScreens,ChildSleep,ChildDiet,ChildFear,ChildFrustation,Irritability,Boredom,ChildFake,ChildIFriends,ChildFriendship,ChildSpace,ChildIntrospection,ChildLeavingHome,ChildNoVariation,ChildNoAnswers,ChildMissExercise,ChildMissFriends,ChildMissExperience,ChildMissContents,ChildMissGroup,ChildMissExam,ChildMissTeacher,HelpOnline,SchoolCommunication,ParentsGroups,ParentsCommunicationReturn,SchoolFees,ChallengeContent,ChallengeMonitoring,ChallengeEmotionalSupport,ChallengeNeeds,ChallengeEvaluation,ChallengeCommunication,ChallengeOnline,ChallengeEquipment,ChallengeVulnerable,ChallengeAny,PriorityCustody,PriorityContent,PriorityAutonomy,PrioritySocialisation,PriorityEmotional,FamiliesCollaboration,SchoolSpace,SpaceBarracks,SpacePorch,SpaceDining,SpaceHall,SpaceGym,SpaceOther,SpaceNone,SpaceStreet,SpacePlots,SpaceParks,SpacePublic,SpaceSurroundingOther,SpaceSurroundingNone,ActivitiesOutside,Selección,filter_,SchoolOwnership1
313,2020/06/30 10:53:04 p. m. EET,2,COMUNIDAD VALENCIANA,Público,.27,.27,2,15085,2,1,0,0,0,0,1,0,0,0,0,2,2,2,3,3,4,4,4,1,1,2,0,2,0,1,2,3,1,1,0,1,0,0,0,0,0,2,1,0,1,0,1,0,0,1,0,0,1,1,1,1,1,0,0,1,1,1,1,0,0,1,0,0,0,1,1,1,0,0,1,2,2,4,2,2,0,0,0,0,1,1,0,0,0,0,2,2,1,1,1,3,1,0,0,1,1,1,0,0,0,0,0,0,0,1,2,1,1,Público
314,2020/07/02 6:01:25 p. m. EET,2,COMUNIDAD VALENCIANA,Público,.27,.27,2,15085,2,0,0,1,0,0,1,0,0,0,0,2,2,3,2,2,2,4,3,3,3,2,2,1,,,,,,,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,2,3,2,3,3,3,,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,1,Público
315,2020/07/02 6:17:42 p. m. EET,2,COMUNIDAD VALENCIANA,Público,.27,.27,2,15085,2,0,0,1,0,0,0,1,0,0,0,1,2,2,2,2,2,2,4,2,2,0,2,2,2,1,3,1,0,1,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,1,1,1,0,0,0,0,3,3,4,2,2,0,0,1,0,0,0,0,0,1,0,2,1,2,3,3,3,3,1,1,1,1,1,0,0,1,1,1,1,0,0,1,1,1,Público
316,2020/07/02 7:22:42 p. m. EET,2,COMUNIDAD VALENCIANA,Concertado,.09,.09,2,15085,2,0,1,0,0,0,1,1,0,0,0,3,2,3,2,1,3,3,3,1,2,0,0,0,0,0,,,0,0,2,1,0,0,0,1,0,2,1,0,0,0,1,1,0,1,0,0,1,1,1,0,0,0,0,1,0,1,1,0,0,1,0,0,1,1,0,0,0,0,0,3,2,4,2,1,0,0,1,0,0,0,0,1,1,0,3,1,3,3,3,3,1,0,0,1,1,1,0,0,0,0,1,1,0,0,3,1,1,Concertado
317,2020/07/03 6:57:07 a. m. EET,2,COMUNIDAD VALENCIANA,Público,.27,.27,2,15085,2,0,0,0,0,0,1,0,0,0,0,7,1,3,2,1,2,3,3,1,2,2,0,2,1,0,,4,1,1,0,0,0,0,0,0,0,2,1,0,1,0,1,0,0,0,0,0,1,1,1,1,0,1,1,1,0,1,0,1,0,1,0,0,1,1,1,0,1,0,0,4,2,2,2,2,0,0,0,0,0,0,0,0,0,1,2,2,3,3,3,2,1,0,0,0,1,0,0,0,0,0,1,0,0,0,3,1,1,Público
318,2020/07/02 10:09:49 p. m. EET,2,COMUNIDAD VALENCIANA,Público,.27,.27,2,14218,1,0,0,,0,0,1,1,0,0,0,6,2,2,1,1,1,2,1,1,1,2,0,2,2,0,,2,1,0,0,0,0,0,0,0,0,2,1,0,1,0,1,1,0,0,0,0,1,0,1,0,1,1,1,1,0,1,1,0,0,1,0,0,1,1,0,0,1,0,0,2,1,2,1,2,0,0,0,0,0,0,0,0,0,1,1,2,2,2,2,3,1,0,1,1,0,0,0,0,0,0,1,0,0,0,3,1,1,Público
319,2020/07/02 8:29:56 p. m. EET,2,COMUNIDAD VALENCIANA,Público,.27,.27,2,14218,2,0,0,1,0,0,1,1,0,0,0,4,2,2,2,2,2,3,3,3,3,2,0,2,0,1,2,2,1,1,2,1,0,1,0,1,1,2,1,1,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,1,1,0,1,0,1,3,1,3,2,2,0,0,0,0,0,0,0,0,0,1,3,3,3,3,3,3,1,0,1,1,0,1,0,0,0,0,0,0,0,1,2,1,1,Público
320,2020/07/02 8:46:18 p. m. EET,2,COMUNIDAD VALENCIANA,Público,.27,.27,2,14218,2,0,0,1,1,0,0,0,0,0,0,4,2,2,1,1,2,2,2,3,3,2,0,2,0,1,2,3,1,1,0,0,0,0,1,0,0,2,0,1,1,0,0,0,0,1,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,4,3,1,1,2,0,0,0,0,0,0,0,0,0,1,3,2,3,3,2,3,1,0,1,1,1,1,0,0,1,1,1,1,0,0,2,1,1,Público
321,2020/07/03 10:05:19 a. m. EET,2,COMUNIDAD VALENCIANA,Público,.27,.27,2,14218,2,0,1,1,0,0,1,0,0,0,0,3,2,2,2,1,3,3,3,3,4,2,0,2,0,1,3,2,0,1,1,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,1,0,1,0,0,1,1,0,0,0,0,1,3,2,3,1,1,0,0,1,0,0,0,1,1,1,0,3,3,3,3,3,3,1,0,1,1,0,0,0,0,0,0,1,0,0,0,3,1,1,Público
322,2020/07/09 12:20:13 a. m. EET,2,COMUNIDAD VALENCIANA,Público,.27,.27,2,14218,2,0,1,0,0,0,1,0,0,0,0,3,2,2,2,3,2,4,3,3,3,2,0,2,0,1,2,1,0,1,2,1,1,1,0,0,0,2,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,3,3,3,1,2,0,0,0,0,0,0,0,0,0,1,3,2,3,3,3,3,2,0,1,0,0,1,0,0,0,1,0,0,0,0,1,1,1,Público
323,2020/07/09 7:56:45 a. m. EET,2,COMUNIDAD VALENCIANA,Público,.27,.27,2,14218,2,0,1,0,0,1,0,0,0,0,0,3,0,1,4,3,2,4,1,1,3,0,2,2,1,1,2,2,0,1,2,1,1,0,0,1,0,2,1,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,2,3,1,2,0,0,1,0,0,0,0,0,0,0,2,3,3,3,3,2,1,1,1,1,1,1,0,0,0,0,1,1,0,0,3,1,1,Público
324,2020/07/02 4:29:42 p. m. EET,2,COMUNIDAD VALENCIANA,Público,.27,.27,2,13286,2,0,1,1,0,0,0,1,0,0,0,5,2,3,2,2,2,2,4,4,2,2,2,2,0,0,,3,1,1,2,0,0,1,1,1,0,2,1,0,0,0,1,0,0,1,0,0,1,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,0,0,1,0,1,3,2,1,1,2,0,0,0,0,0,0,0,0,0,1,3,2,3,3,3,3,3,0,1,1,1,1,0,0,1,0,0,0,0,0,3,1,1,Público
325,2020/07/03 8:17:10 a. m. EET,2,COMUNIDAD VALENCIANA,Público,.27,.27,2,13286,2,0,1,1,0,1,0,0,0,0,0,3,2,2,2,1,2,3,4,4,2,2,0,2,0,1,3,2,1,1,2,0,0,0,0,1,0,2,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,4,2,3,2,2,1,1,1,0,1,1,0,0,0,0,3,1,3,3,3,3,1,0,1,1,0,1,0,0,1,0,1,1,0,0,3,1,1,Público
326,2020/07/02 4:49:30 p. m. EET,2,COMUNIDAD VALENCIANA,Concertado,.09,.09,2,,2,0,1,1,0,0,1,0,0,0,0,3,2,2,2,1,4,3,3,3,2,2,0,2,0,1,2,2,0,1,2,1,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,1,3,2,3,2,,0,0,0,0,0,0,0,0,0,1,1,3,3,3,3,2,1,0,0,0,0,0,0,1,0,0,0,0,0,1,2,1,1,Concertado
327,2020/07/02 7:06:41 p. m. EET,2,COMUNIDAD VALENCIANA,Público,.27,.27,2,,2,0,1,1,0,0,1,0,0,0,0,1,2,2,2,3,2,2,4,2,2,1,0,2,1,0,,2,0,0,2,0,0,1,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,2,2,2,2,,1,0,1,0,0,0,0,0,0,0,2,3,2,3,3,3,2,0,1,1,0,1,0,0,0,0,0,1,0,0,3,1,1,Público
328,2020/07/04 11:52:26 a. m. EET,1,COMUNIDAD VALENCIANA,Público,.27,.27,2,,2,0,0,0,0,1,0,0,0,0,0,1,2,3,3,2,4,4,3,4,3,0,0,0,2,0,1,2,1,0,2,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,3,3,3,2,1,0,1,1,0,0,0,0,0,0,0,2,2,3,3,3,3,3,0,0,0,1,1,0,0,0,0,0,0,0,0,3,1,1,Público
329,2020/07/02 4:50:18 p. m. EET,2,COMUNIDAD VALENCIANA,Público,.27,.27,2,,2,0,0,0,1,0,0,0,0,0,0,7,0,3,2,1,3,4,4,3,2,0,1,0,0,,,4,0,0,2,1,1,1,1,1,1,2,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,,2,4,2,,1,1,1,1,1,1,1,1,1,0,3,3,3,3,3,3,1,1,0,1,0,0,1,0,0,0,0,0,0,1,2,1,1,Público
330,2020/07/02 4:33:29 p. m. EET,2,COMUNIDAD VALENCIANA,Privado,.43,.43,2,15727,2,0,1,1,1,1,0,0,0,0,0,4,2,4,1,1,3,3,3,3,4,2,0,2,0,1,1,2,0,1,2,1,1,0,0,0,0,2,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,4,3,3,2,2,0,0,0,0,0,0,0,0,0,1,3,2,3,3,3,3,3,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,Privado
331,2020/07/02 10:32:34 p. m. EET,2,COMUNIDAD VALENCIANA,Privado,.43,.43,2,19789,2,0,0,1,1,0,0,0,0,0,0,2,2,2,3,1,4,3,4,4,1,2,0,1,0,1,2,4,0,1,2,1,0,0,0,0,0,2,1,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,4,1,1,1,1,0,0,0,0,0,0,0,0,0,1,3,1,2,3,3,3,3,0,1,0,0,0,0,0,0,0,0,0,0,1,2,1,1,Privado
332,2020/07/01 1:44:48 p. m. EET,2,COMUNIDAD VALENCIANA,Público,.27,.27,2,,2,0,0,0,1,1,0,0,0,0,0,7,2,2,4,4,3,4,4,4,4,0,2,1,2,0,,2,0,0,2,1,0,0,0,0,0,2,1,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,1,1,0,1,0,0,0,0,0,0,1,1,1,0,1,0,1,2,2,3,2,,0,0,0,0,0,1,1,0,0,0,2,3,3,3,3,3,3,0,1,1,0,0,0,0,0,1,1,0,0,0,3,1,1,Público
333,2020/07/02 6:43:30 p. m. EET,2,COMUNIDAD VALENCIANA,Concertado,.09,.09,2,,2,0,1,1,1,0,0,0,0,0,0,3,0,3,2,2,2,3,3,4,4,2,0,0,1,1,2,1,0,0,2,0,0,0,1,1,0,2,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,1,1,0,1,0,1,4,2,3,1,1,0,0,1,0,0,1,1,0,0,0,2,3,3,3,3,3,2,0,0,0,0,0,1,0,0,0,0,0,1,0,2,1,1,Concertado
334,2020/07/02 8:19:52 p. m. EET,2,COMUNIDAD VALENCIANA,Concertado,.09,.09,2,,2,0,1,1,0,0,1,0,0,0,0,1,2,3,2,1,2,4,3,4,3,2,0,2,0,1,2,2,1,1,2,1,0,1,1,1,1,2,1,0,0,0,1,0,0,1,0,0,1,1,1,0,0,0,0,1,0,1,1,0,0,1,0,0,1,1,0,1,1,0,1,3,2,3,2,1,0,0,0,0,1,0,0,0,0,0,2,2,2,3,3,3,1,0,1,1,1,0,1,0,0,0,0,1,0,0,3,1,1,Concertado
335,2020/07/02 8:46:13 p. m. EET,2,COMUNIDAD VALENCIANA,Público,.27,.27,2,,2,1,1,1,0,0,1,0,0,0,0,4,2,1,4,1,2,4,4,1,2,0,0,2,2,1,1,2,1,1,2,1,0,1,0,1,1,2,1,0,0,1,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,3,1,2,1,2,0,0,0,0,0,0,1,0,0,0,3,3,2,2,3,3,1,0,1,0,1,0,0,0,0,0,0,1,0,0,3,1,1,Público
336,2020/07/02 5:50:36 p. m. EET,2,COMUNIDAD VALENCIANA,Privado,.43,.43,,,2,0,1,1,1,0,0,0,0,0,0,3,2,2,2,1,2,2,4,3,2,1,0,2,0,1,3,3,0,1,2,1,0,0,1,1,1,2,1,1,0,1,1,0,0,1,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,1,0,0,1,1,1,0,1,0,1,3,2,2,2,1,1,0,1,0,1,0,0,0,0,0,3,3,3,3,3,3,1,1,1,0,0,0,1,0,0,0,0,1,0,0,2,1,1,Privado
337,2020/07/08 8:20:51 p. m. EET,2,COMUNIDAD VALENCIANA,Público,.27,.27,1,,2,0,1,0,0,1,1,0,0,0,1,4,2,2,2,2,,2,4,4,2,2,1,2,0,1,3,2,1,1,0,0,0,0,0,1,0,2,1,0,0,0,1,1,0,1,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,2,3,1,,0,0,0,0,0,0,0,0,0,1,2,2,2,1,1,3,2,0,0,0,0,0,1,0,0,0,0,0,0,1,3,1,1,Público
338,2020/07/09 12:19:15 a. m. EET,2,COMUNIDAD VALENCIANA,Público,.27,.27,1,,2,0,0,1,1,1,0,0,0,0,0,7,2,2,2,3,3,4,4,4,4,0,0,1,1,0,3,2,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,1,1,3,1,0,0,0,0,0,0,0,0,0,1,2,2,3,3,3,3,2,0,1,1,1,1,0,0,0,0,0,0,0,1,2,1,1,Público
339,2020/07/04 2:52:51 p. m. EET,1,COMUNIDAD VALENCIANA,Público,.27,.27,1,,2,0,1,1,0,0,0,1,0,0,0,1,2,2,2,2,3,3,3,4,3,2,0,2,0,1,2,2,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,3,1,3,2,2,0,0,0,0,0,0,0,0,0,1,3,3,2,3,3,3,1,1,0,0,0,0,0,0,0,1,0,0,0,0,2,1,1,Público
340,2020/07/04 3:29:57 p. m. EET,1,COMUNIDAD VALENCIANA,Público,.27,.27,1,,2,0,1,1,0,0,1,0,0,0,0,1,2,2,2,2,4,4,4,3,3,2,0,2,1,1,3,2,0,1,2,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,1,1,0,0,1,1,0,0,0,0,1,3,1,3,2,,0,0,0,0,0,0,0,0,0,1,2,2,3,3,3,3,1,1,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1,Público
341,2020/07/09 11:14:00 a. m. EET,2,COMUNIDAD VALENCIANA,Público,.27,.27,1,,2,0,1,1,0,1,0,0,0,0,0,4,2,2,1,1,2,1,4,4,2,2,0,2,0,1,2,2,0,1,1,1,0,1,0,1,0,2,1,1,0,0,1,1,0,0,0,0,1,1,1,0,0,1,1,0,0,1,1,0,0,1,0,0,1,1,1,0,0,0,0,4,2,4,2,,0,0,0,0,0,0,0,0,0,1,2,3,3,3,3,2,1,0,1,0,0,0,0,0,0,0,1,1,0,0,2,1,1,Público
342,2020/07/02 4:42:27 p. m. EET,2,COMUNIDAD VALENCIANA,Público,.27,.27,1,,2,0,1,1,1,0,0,0,0,0,0,3,2,2,2,3,3,3,3,2,3,2,0,2,0,1,1,2,1,1,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,4,4,3,1,2,0,0,0,0,0,0,0,0,0,1,1,2,1,1,1,3,1,1,1,0,0,0,0,0,0,0,0,1,0,0,3,1,1,Público
343,2020/07/03 2:11:04 a. m. EET,2,COMUNIDAD VALENCIANA,Concertado,.09,.09,1,,2,0,0,1,0,1,1,0,0,0,0,6,2,3,1,1,1,2,4,4,4,2,0,1,0,1,3,4,1,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,2,1,1,2,1,0,0,0,0,0,0,0,0,0,1,3,2,3,3,3,3,2,0,0,0,1,1,0,0,0,0,0,1,0,0,2,1,1,Concertado
344,2020/07/04 8:39:40 a. m. EET,2,COMUNIDAD VALENCIANA,Público,.27,.27,1,,2,0,1,1,0,0,1,0,0,0,0,1,2,3,3,3,2,2,4,4,3,1,0,2,1,1,3,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,1,0,1,0,1,4,2,3,2,,1,1,1,0,0,1,1,0,0,0,3,3,3,3,2,3,1,0,0,1,1,0,0,0,0,0,0,1,0,0,2,1,1,Público
345,2020/07/08 10:52:54 p. m. EET,2,COMUNIDAD VALENCIANA,Público,.27,.27,1,,2,0,1,1,0,1,0,0,0,0,0,3,2,2,3,4,3,1,4,4,3,1,2,2,2,0,,2,1,1,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1,1,0,1,1,1,0,1,0,0,1,1,0,0,0,0,0,2,2,4,2,2,1,1,1,0,1,1,0,0,0,0,2,2,3,3,3,3,1,1,0,0,1,0,1,0,0,0,0,1,0,0,2,1,1,Público
346,2020/06/29 11:06:15 p. m. EET,2,COMUNIDAD VALENCIANA,Público,.27,.27,1,,2,0,1,1,0,1,0,1,0,0,0,3,2,3,2,2,2,2,3,2,3,2,0,0,1,1,2,2,1,1,2,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,4,2,3,2,2,0,0,0,0,0,1,1,0,0,0,2,2,3,3,3,3,1,1,0,0,0,0,0,0,0,0,0,1,0,0,3,1,1,Público
347,2020/07/02 11:19:00 p. m. EET,1,COMUNIDAD VALENCIANA,Público,.27,.27,1,,2,0,1,1,0,1,0,0,0,0,0,1,0,3,3,2,2,3,4,4,4,0,0,0,2,0,,3,1,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,1,Público
348,2020/07/02 11:32:28 p. m. EET,2,COMUNIDAD VALENCIANA,Concertado,.09,.09,1,,2,0,0,1,1,0,0,0,0,0,0,7,2,2,2,4,4,2,4,4,2,0,2,2,2,0,,2,1,1,2,1,0,1,1,1,0,2,1,1,1,1,0,1,0,1,0,0,1,1,1,0,1,1,1,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,3,2,2,1,2,0,0,0,0,0,0,0,0,0,1,2,2,2,2,1,3,3,0,1,1,1,0,0,0,0,0,0,1,0,0,3,1,1,Concertado
349,2020/07/02 11:58:37 p. m. EET,2,COMUNIDAD VALENCIANA,Público,.27,.27,1,,2,0,1,1,1,0,0,0,0,0,0,3,2,2,1,1,2,3,4,4,2,2,2,2,0,1,3,3,1,1,2,1,1,0,0,1,1,2,1,0,0,0,1,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,0,1,2,1,4,1,2,0,0,0,0,0,0,0,0,0,1,2,1,1,1,1,3,1,0,0,1,0,1,0,0,0,0,0,0,0,1,1,1,1,Público
350,2020/07/02 5:04:52 p. m. EET,2,COMUNIDAD VALENCIANA,Público,.27,.27,1,,2,0,0,1,0,0,1,1,0,0,0,2,2,3,1,1,4,4,4,1,2,2,0,2,0,1,3,3,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,2,1,2,2,,0,1,1,0,1,1,1,1,1,0,1,1,2,1,1,3,2,1,0,0,1,0,1,0,0,0,0,1,0,0,3,1,1,Público
351,2020/07/02 5:17:29 p. m. EET,2,COMUNIDAD VALENCIANA,Público,.27,.27,1,,2,0,0,1,1,0,1,0,0,0,0,7,2,2,1,2,2,3,4,3,2,2,0,2,0,1,2,3,1,1,1,1,0,0,0,1,0,2,1,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,1,1,0,0,0,0,1,3,2,4,2,,0,1,0,0,0,0,0,0,0,0,2,3,3,3,3,3,1,0,1,0,0,1,0,0,0,1,0,0,0,0,3,1,1,Público
352,2020/07/03 12:04:41 a. m. EET,1,COMUNIDAD VALENCIANA,Público,.27,.27,1,,2,0,1,1,0,0,1,0,0,0,0,5,2,2,1,1,2,4,4,4,2,2,2,2,0,1,2,4,1,1,2,1,1,0,0,1,1,2,1,1,1,0,1,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1,0,1,1,1,2,1,3,1,2,0,0,0,0,0,0,0,0,0,1,2,2,2,2,1,3,1,0,0,1,0,1,0,0,0,0,0,0,0,1,1,1,1,Público
353,2020/07/03 10:53:34 p. m. EET,2,COMUNIDAD VALENCIANA,Concertado,.09,.09,0,,2,0,0,1,0,0,1,1,0,0,0,7,2,2,2,2,4,3,4,4,2,1,0,1,2,0,,2,1,1,2,0,0,0,0,0,0,2,1,1,1,0,0,1,0,1,0,0,1,1,1,1,0,1,1,1,0,1,1,0,1,0,0,0,1,1,1,0,0,1,1,2,1,2,2,2,0,0,0,0,0,0,0,0,0,1,1,2,2,2,2,3,1,0,1,0,1,1,0,0,0,0,0,1,0,0,1,1,1,Concertado
354,2020/06/29 11:06:12 p. m. EET,2,COMUNIDAD VALENCIANA,Público,.27,.27,0,,2,0,1,1,0,0,1,0,0,0,0,4,2,3,3,3,4,3,4,3,3,1,0,2,2,1,3,2,0,0,2,1,0,0,1,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,4,2,3,2,1,0,0,1,0,0,0,0,0,0,0,3,2,2,3,3,3,2,0,0,1,0,1,0,0,0,0,1,0,0,0,3,1,1,Público
355,2020/07/03 8:23:33 a. m. EET,2,COMUNIDAD VALENCIANA,Público,.27,.27,0,,2,0,1,1,0,1,0,0,0,0,0,4,2,3,3,3,4,3,4,3,3,1,0,2,2,1,3,2,0,0,2,1,0,0,1,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,4,2,3,2,1,0,0,1,0,0,0,0,0,0,0,3,2,2,3,3,3,2,0,0,1,0,1,0,0,0,0,1,0,0,0,3,1,1,Público
356,2020/07/02 4:30:49 p. m. EET,2,COMUNIDAD VALENCIANA,Concertado,.09,.09,1,,2,0,1,0,0,0,1,1,0,0,0,4,2,4,1,1,2,1,2,4,4,2,2,2,0,1,2,3,0,0,2,1,0,0,0,1,0,2,0,0,1,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,2,2,3,2,2,0,0,0,0,0,0,0,0,0,1,2,1,3,3,3,3,3,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,1,Concertado
357,2020/07/02 5:17:15 p. m. EET,2,COMUNIDAD VALENCIANA,Público,.27,.27,1,,2,0,1,1,1,0,0,0,0,0,0,1,2,3,2,4,3,3,3,3,3,1,2,1,2,1,2,4,1,1,2,1,0,0,0,1,0,2,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,4,2,3,2,2,0,0,0,0,0,0,1,0,0,1,1,2,2,3,3,3,1,0,1,0,1,0,0,0,1,0,1,1,0,0,2,1,1,Público
358,2020/07/03 12:09:47 a. m. EET,2,COMUNIDAD VALENCIANA,Público,.27,.27,1,,2,0,0,1,0,0,1,0,0,0,0,2,2,,1,2,2,4,3,1,2,2,0,2,0,0,,2,1,0,2,1,0,0,0,1,0,2,1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,2,3,3,1,2,0,0,0,0,0,0,0,0,0,1,3,3,3,3,3,2,1,0,0,1,1,1,1,0,0,0,0,0,0,1,3,1,1,Público
359,2020/07/03 12:17:54 a. m. EET,2,COMUNIDAD VALENCIANA,Público,.27,.27,1,,2,0,1,1,0,0,0,1,0,0,0,3,2,3,2,4,2,2,3,3,4,2,2,1,1,1,2,2,1,1,2,0,0,1,1,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,4,3,3,1,,0,0,0,0,0,1,0,0,0,0,1,2,3,3,3,3,3,0,0,0,0,0,1,0,0,0,0,0,0,1,2,1,1,Público
